date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:41:45	151648/151648	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20Dec%202022%2007:20:23%20GMT	https://www.sotaimaging.com/sitemap/	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/sitemap/index.html	(from https://www.sotaimaging.com/)
09:41:46	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2026%20Dec%202022%2014:41:46%20GMT	http://cdn.materialdesignicons.com/5.4.55/css/materialdesignicons.min.css	D:/WEBSITE/sota%20imaging%20complete/cdn.materialdesignicons.com/5.4.55/css/materialdesignicons.min.27.delayed	(from https://www.sotaimaging.com/wp-content/cache/min/1/wp-content/themes/Fuse/style.css?ver=1633452252)
09:41:46	251/251	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2026%20Dec%202022%2014:41:44%20GMT	https://www.sotaimaging.com/privacy/	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/privacy/index.html	(from https://www.sotaimaging.com/)
09:41:46	111/111	---M--	301	error ('Moved%20Permanently')	text/plain	date:Mon,%2026%20Dec%202022%2014:41:47%20GMT	https://cdn.jsdelivr.net/mdi/5.4.55/css/materialdesignicons.min.css	D:/WEBSITE/sota%20imaging%20complete/cdn.jsdelivr.net/mdi/5.4.55/css/materialdesignicons.min.28.delayed	(from https://www.sotaimaging.com/wp-content/cache/min/1/wp-content/themes/Fuse/style.css?ver=1633452252)
09:41:46	876183/876183	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2028%20Jan%202022%2015:45:27%20GMT	https://www.sotaimaging.com/wp-content/cache/min/1/fe5dcc168e2547158a98e00cbef96ce5.js	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/wp-content/cache/min/1/fe5dcc168e2547158a98e00cbef96ce5.js	(from https://www.sotaimaging.com/)
09:41:47	385930/385930	---M--	200	added ('OK')	image/png	date:Fri,%2030%20Jul%202021%2022:28:30%20GMT	https://www.sotaimaging.com/wp-content/uploads/2021/07/cloud-slide-desktop.png	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/wp-content/uploads/2021/07/cloud-slide-desktop.png	(from https://www.sotaimaging.com/)
09:41:47	250422/250422	---M-Z	200	added ('OK')	text/css	etag:W/%223d236-+1GUFQQB1xbFJxuoLlvWA9Vm3l0%22	https://cdn.jsdelivr.net/npm/@mdi/font@5.4.55/css/materialdesignicons.min.css	D:/WEBSITE/sota%20imaging%20complete/cdn.jsdelivr.net/npm/@mdi/font@5.4.55/css/materialdesignicons.min.css	(from https://www.sotaimaging.com/wp-content/cache/min/1/wp-content/themes/Fuse/style.css?ver=1633452252)
09:41:47	261/261	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2026%20Dec%202022%2014:41:47%20GMT	https://www.sotaimaging.com/wp-json/wp/v2/pages/2288	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/wp-json/wp/v2/pages/2288	(from https://www.sotaimaging.com/demo/)
09:41:49	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2026%20Dec%202022%2014:41:48%20GMT	http://js.hsforms.net/forms/v2.js	D:/WEBSITE/sota%20imaging%20complete/js.hsforms.net/forms/v2.2c.delayed	(from https://www.sotaimaging.com/demo/)
09:41:49	57122/57122	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Jul%202021%2009:21:35%20GMT	https://www.sotaimaging.com/wp-content/uploads/2021/04/default-page-title-banner.jpg	D:/WEBSITE/sota%20imaging%20complete/www.sotaimaging.com/wp-content/uploads/2021/04/default-page-title-banner.jpg	(from https://www.sotaimaging.com/demo/)
